Source,Target,EdgeType,Weight
265,67,风险等级,1
265,144,精度等级,1
48,311,从事,1
48,34,掌握,1
34,340,应用于,1
48,108,体现,1
48,157,体现,1
48,116,体现,1
48,340,属于,1
48,284,采用,1
48,31,使用,1
48,42,风险等级,1
48,146,精度等级,1
214,328,从事,1
214,273,掌握,1
273,213,应用于,1
214,157,体现,1
214,116,体现,1
214,139,体现,1
214,213,属于,1
214,93,采用,1
214,65,使用,1
214,42,风险等级,1
214,144,精度等级,1
128,263,从事,1
128,45,掌握,1
45,213,应用于,1
128,116,体现,1
128,157,体现,1
128,139,体现,1
128,213,属于,1
128,284,采用,1
128,31,使用,1
128,42,风险等级,1
128,146,精度等级,1
199,72,从事,1
199,341,掌握,1
341,213,应用于,1
199,252,体现,1
199,116,体现,1
199,158,体现,1
158,213,属于,1
199,213,属于,1
199,93,采用,1
199,151,使用,1
199,144,风险等级,1
199,146,精度等级,1
251,3,从事,1
251,316,掌握,1
316,213,应用于,1
251,116,体现,1
251,157,体现,1
251,139,体现,1
251,213,属于,1
251,93,采用,1
251,31,使用,1
251,42,风险等级,1
251,146,精度等级,1
135,162,从事,1
135,193,掌握,1
193,213,应用于,1
135,116,体现,1
135,139,体现,1
135,310,体现,1
135,213,属于,1
135,284,采用,1
135,31,使用,1
135,42,风险等级,1
135,146,精度等级,1
290,124,从事,1
290,245,掌握,1
245,17,应用于,1
290,310,体现,1
290,116,体现,1
290,152,体现,1
290,17,属于,1
290,334,采用,1
290,31,使用,1
290,67,风险等级,1
290,144,精度等级,1
200,180,从事,1
200,9,掌握,1
9,213,应用于,1
200,330,体现,1
330,213,属于,1
200,116,体现,1
200,139,体现,1
200,213,属于,1
200,93,采用,1
200,151,使用,1
200,144,风险等级,1
200,144,精度等级,1
216,127,从事,1
216,71,掌握,1
71,62,应用于,1
216,156,体现,1
156,62,属于,1
216,116,体现,1
216,139,体现,1
216,62,属于,1
216,284,采用,1
216,31,使用,1
216,144,风险等级,1
216,144,精度等级,1
205,88,从事,1
205,247,掌握,1
247,62,应用于,1
205,116,体现,1
205,139,体现,1
205,310,体现,1
205,62,属于,1
205,284,采用,1
205,31,使用,1
205,144,风险等级,1
205,146,精度等级,1
215,279,从事,1
215,317,掌握,1
317,213,应用于,1
215,157,体现,1
215,139,体现,1
215,178,体现,1
215,213,属于,1
